date,averaging_period_end,averaging_period_days,actual_balances,required_reserves_avg,accounting_reserves,full_reserves,spread,spread_relative,spread_delta,spread_ma3,reserve_load,ruonia_rate,ruonia_period_avg,ruonia_start,flag_end_of_period,spread_mad_score,spread_relative_mad_score,spread_delta_mad_score,reserve_load_mad_score,ruonia_mad_score,m1_signal,m1_signal_final,m1_reliable
10-05-2014,09-06-2014,31,1060.4935483870966,894.6,430.3,1324.9,165.89354838709653,18.54387976605148,-11.264784946236887,175.6931003584228,124.93239605418054,,8.082857142857142,7.03,0,-1.7249824992006086,-2.572721340578904,-0.8688829234901955,-0.5450461376489942,5,-0.12725664838846823,-0.12725664838846823,1
10-06-2014,09-07-2014,30,1078.405,880.7,427.8,1308.5,197.70499999999993,22.448620415578507,31.811451612903397,180.25229390680997,121.33660359512429,8.35,8.074000000000002,8.35,0,0.35289885416270655,-1.882910710448835,2.8320039064872335,-1.2290445234091032,4.658541852062381,1.2422229703334189,1.2422229703334189,1
10-07-2014,09-08-2014,31,1043.0354838709677,877.4,428.6,1306.0,165.63548387096773,18.877989955660787,-32.069516129032195,176.4113440860214,125.21146405806873,7.94,8.098636363636363,7.94,0,-1.8470743696291,-2.4828165880429607,-2.0632037309970466,-0.5089106409947973,5,-0.3266607360304821,-0.3266607360304821,1
10-08-2014,09-09-2014,31,1003.5967741935484,833.6,446.6,1280.2,169.9967741935484,20.393087115348894,4.361290322580658,177.77908602150535,127.56119119939572,,7.916363636363636,7.46,0,-1.4785083718679963,-2.1589094449073087,0.4045017812987994,-0.10568221418458054,4.68580782768923,0.1749219327365013,0.1749219327365013,1
10-09-2014,09-10-2014,30,1019.7950000000001,861.1,427.1,1288.2,158.69500000000005,18.429334572059002,-11.30177419354834,164.77575268817205,126.31950539078932,7.73,7.893636363636364,7.73,0,-2.1330191158768477,-2.5139408612832694,-0.6471792778177523,-0.3935370068471179,4.6173272484301995,-0.31778698544282713,-0.31778698544282713,1
10-10-2014,09-11-2014,31,1052.0467741935486,871.7,432.7,1304.4,180.34677419354853,20.689087322880408,21.651774193548476,169.67951612903232,123.98688271250052,8.04,8.811578947368421,8.04,0,-0.44207031796505664,-2.005852923039693,1.9736519451785788,-0.959074799998627,5,0.8898599497290938,0.8898599497290938,1
10-11-2014,09-12-2014,30,1094.0883333333334,909.0,451.9,1360.9,185.08833333333337,20.361752841950864,4.74155913978484,174.710035842294,124.3866659151531,10.02,10.132727272727273,10.02,0,-0.0097366058721835,-2.0007556438479135,0.5358465263805546,-0.884494715892452,5,0.8267802559398406,0.8267802559398406,1
10-12-2014,09-01-2015,31,1518.6951612903222,966.9,470.8,1437.7,551.7951612903222,57.06848291346801,366.70682795698883,305.743422939068,94.66679269449266,10.64,18.039333333333335,10.64,0,5,4.627206820170228,5,-5,5,4.906801705042557,4.906801705042557,1
10-01-2015,09-02-2015,31,1224.9064516129033,1047.1,496.7,1543.8,177.8064516129034,16.980847255553762,-373.9887096774188,304.89664874551966,126.03411452092456,,16.33238095238095,17.39,0,-0.7067809180303453,-2.3165287709783566,-5,-0.49643086713945545,5,-0.32650551405521,-0.32650551405521,1
10-02-2015,09-03-2015,28,1214.5803571428569,1066.7,491.7,1558.4,147.88035714285684,13.86335025244744,-29.926094470046564,292.4939900153608,128.30769004579773,15.47,15.287222222222223,15.47,0,-3.510483278511786,-2.6571759646859783,-2.4118002101483578,-0.0319348216161688,5,-1.004733170172873,-1.004733170172873,1
10-03-2015,09-04-2015,31,1215.8774193548386,1102.8,504.2,1607.0,113.07741935483864,10.253665157312172,-34.8029377880182,146.25474270353297,132.16792864306143,15.5,14.444347826086958,15.5,0,-5,-3.1427462794564462,-2.1302914164235354,0.7051420623151935,5,-1.6052302823276419,-1.6052302823276419,1
10-04-2015,09-05-2015,30,1188.9566666666663,1063.3,483.5,1546.8,125.6566666666663,11.817611837361639,12.579247311827658,128.87148105478727,130.09725613773423,14.24,14.122105263157895,14.24,0,-5,-2.753170624861604,0.8417810725466494,0.023869360227152785,5,-1.0620254953334034,-1.0620254953334034,1
10-05-2015,09-06-2015,31,1138.9467741935484,1006.2,457.5,1463.7,132.7467741935484,13.192881553721763,7.090107526882093,123.82695340501778,128.51346815889607,,12.905714285714287,11.74,0,-4.289871604721092,-2.314446986038094,0.36664969475812365,-0.1676582163894237,5,-0.7750693539481872,-0.7750693539481872,1
10-06-2015,09-07-2015,30,1163.0483333333332,1020.6,463.8,1484.4,142.44833333333315,13.957312691880574,9.701559139784763,133.61725806451594,127.63012141943086,13.03,11.91095238095238,13.03,0,-2.897130815933342,-2.224758028845421,0.5473585341373082,-0.19351042664089604,5,-0.23808151266742866,-0.23808151266742866,1
10-07-2015,09-08-2015,31,1201.9177419354835,1048.4,475.4,1523.8000000000002,153.5177419354834,14.643050547070144,11.069408602150247,142.90428315412166,126.780722742821,11.54,11.302857142857144,11.54,0,-1.8275034519590652,-1.84336049008462,0.5367261589752945,-0.2857817245292387,4.076573560230007,-0.0008140168030317113,-0.0008140168030317113,1
10-08-2015,09-09-2015,31,1205.0016129032256,1068.6,486.5,1555.1,136.40161290322567,12.764515525287823,-17.11612903225773,144.12256272401407,129.05376916909498,10.45,10.851739130434783,10.45,0,-2.7467956148246357,-1.4859045986610686,-1.283411476245595,0.2671270751469992,3.4710293265244734,-0.6576090046596105,-0.6576090046596105,1
10-09-2015,09-10-2015,30,1398.0783333333334,1257.2,361.2,1618.4,140.87833333333333,11.20572170961926,4.476720430107662,143.5992293906808,115.75889286127267,10.5,11.146818181818182,10.5,0,-2.461650623303291,-1.4052804745478946,0.07647787087531367,-2.646217547852824,1.838472785638117,-0.7418079597522992,-0.7418079597522992,1
10-10-2015,09-11-2015,31,1465.532258064516,1320.6,365.3,1685.8999999999999,144.9322580645162,10.974728007308512,4.05392473118286,140.73740143369173,115.03670360872962,,11.336499999999997,10.46,0,-1.9989900207468863,-1.375103162762797,0.04603369698448728,-2.5591460929021914,1.834619570385554,-0.5778623508080479,-0.5778623508080479,1
10-11-2015,09-12-2015,30,1423.2816666666663,1290.0,356.9,1646.9,133.2816666666663,10.331912144702814,-11.650591397849894,139.69741935483862,115.71146025207008,11.43,11.436363636363636,11.43,0,-2.2272108269282302,-1.4295067917407354,-0.9327705621906196,-2.0659244088979354,1.839268599980617,-0.8169989216935031,-0.8169989216935031,1
10-12-2015,09-01-2016,31,1665.2806451612905,1318.7,363.4,1682.1,346.5806451612905,26.281993263159965,213.29897849462418,208.2648566308243,101.01000122036969,11.64,11.174666666666665,11.64,0,5,0.7525209127201901,5,-4.868126931383911,1.5828765292845983,3.083849360501197,3.083849360501197,1
10-01-2016,10-02-2016,32,1529.3824483437495,1367.1,382.3,1749.3999999999999,162.2824483437496,11.870561651945694,-184.29819681754088,214.0482533905688,114.38603875011898,,10.973043478260868,10.52,0,-0.8610184342207856,-1.2403038171528482,-5,-2.233099790313845,1.410577481337174,-1.0087880359311936,-1.0087880359311936,1
11-02-2016,09-03-2016,28,1581.0142857142855,1416.2,386.3,1802.5,164.81428571428546,11.637783202533926,2.531837370535868,224.55912640644183,114.00909000551185,10.71,10.92235294117647,10.71,0,-0.6494799671280691,-1.2316625376360693,-0.05345885469441026,-2.0905030516075924,1.3738948406281668,-0.1997787409509613,-0.1997787409509613,1
10-03-2016,06-04-2016,28,1566.4357142857139,1439.1,391.1,1830.1999999999998,127.33571428571395,8.848288116580777,-37.47857142857151,151.47748278124968,116.83850050843363,10.86,10.879,10.86,0,-2.092994293070215,-1.6008983159074064,-2.4505962820087372,-1.3777394107862169,1.0014554716481492,-1.2499981559407,-1.2499981559407,1
07-04-2016,11-05-2016,35,1514.8114285714291,1380.1,375.3,1755.3999999999999,134.71142857142922,9.760990404422088,7.375714285715276,142.28714285714287,115.88241063479843,10.83,10.704545454545455,10.83,0,-1.5429666407694447,-1.3515336849533153,0.28845973975239536,-1.326674937007386,0.6437894018572347,-0.6737054340804666,-0.6737054340804666,1
12-05-2016,08-06-2016,28,1562.607142857142,1451.1,394.1,1845.1999999999998,111.50714285714207,7.684318300402597,-23.204285714287153,124.51809523809509,118.08470276323915,11.0,11.152000000000001,11.0,0,-2.5850227759179174,-1.6057755135774752,-1.4110053438531507,-0.9567081685987326,0.2960612039349334,-1.443837350559879,-1.443837350559879,1
