event_date,day_type,tax_name,event_type,event_text,source_release_date,source_file,source_url
17-03-2014,event,Страховые взносы в Фонд социального страхования Российской Федерации,payment_deadline,плательщики страховых взносов на обязательное социальное страхование на случай временной нетрудоспособности и в связи с материнством уплачивают ежемесячный обязательный платеж за февраль 2014 г.,28-02-2014,data-20140228-structure-20140228.xml,https://data.nalog.ru/opendata/7707329152-kalendar/data-20140228-structure-20140228.xml
18-03-2014,event,Акцизы,reporting_deadline,"налогоплательщики , уплатившие авансовый платеж акциза по алкогольной и (или) спиртосодержащей продукции, представляют в налоговый орган документы , подтверждающие уплату авансового платежа за март 2014 г. В целях освобождения от уплаты авансового платежа акциза налогоплательщики представляют в налоговый орган банковскую гарантию и извещение об освобождении от уплаты авансового платежа акциза",28-02-2014,data-20140228-structure-20140228.xml,https://data.nalog.ru/opendata/7707329152-kalendar/data-20140228-structure-20140228.xml
20-03-2014,event,Косвенные налоги,mixed,"налогоплательщики представляют налоговую декларацию и уплачивают налоги по товарам, принятым на учет в феврале 2014 г.",28-02-2014,data-20140228-structure-20140228.xml,https://data.nalog.ru/opendata/7707329152-kalendar/data-20140228-structure-20140228.xml
20-03-2014,event,НДС,payment_deadline,налогоплательщики ( налоговые агенты ) уплачивают 1/3 суммы налога за IV квартал 2013 г.,28-02-2014,data-20140228-structure-20140228.xml,https://data.nalog.ru/opendata/7707329152-kalendar/data-20140228-structure-20140228.xml
20-03-2014,event,Налог на игорный бизнес,mixed,налогоплательщики представляют налоговую декларацию и уплачивают налог за февраль 2014 г.,28-02-2014,data-20140228-structure-20140228.xml,https://data.nalog.ru/opendata/7707329152-kalendar/data-20140228-structure-20140228.xml
20-03-2014,event,Сбор за пользование объектами водных биологических ресурсов,payment_deadline,налогоплательщики уплачивают регулярный взнос,28-02-2014,data-20140228-structure-20140228.xml,https://data.nalog.ru/opendata/7707329152-kalendar/data-20140228-structure-20140228.xml
25-03-2014,event,Акцизы,mixed,"налогоплательщики (кроме имеющих свидетельство о регистрации лица, совершающего операции с прямогонным бензином, и (или) свидетельство о регистрации организации, совершающей операции с денатурированным этиловым спиртом) уплачивают акцизы и представляют налоговую декларацию за февраль 2014 г.;",28-02-2014,data-20140228-structure-20140228.xml,https://data.nalog.ru/opendata/7707329152-kalendar/data-20140228-structure-20140228.xml
25-03-2014,event,Акцизы,mixed,"налогоплательщики, имеющие свидетельство о регистрации лица, совершающего операции с прямогонным бензином, и (или) свидетельство о регистрации организации, совершающей операции с денатурированным этиловым спиртом, уплачивают акцизы по прямогонному бензину и денатурированному этиловому спирту и представляют налоговую декларацию за декабрь 2013 г.",28-02-2014,data-20140228-structure-20140228.xml,https://data.nalog.ru/opendata/7707329152-kalendar/data-20140228-structure-20140228.xml
25-03-2014,event,Налог на добычу полезных ископаемых,payment_deadline,налогоплательщики уплачивают налог за февраль 2014 г.,28-02-2014,data-20140228-structure-20140228.xml,https://data.nalog.ru/opendata/7707329152-kalendar/data-20140228-structure-20140228.xml
28-03-2014,event,Налог на прибыль организаций,reporting_deadline,налоговые агенты представляют налоговый расчет за 2013 г.;,28-02-2014,data-20140228-structure-20140228.xml,https://data.nalog.ru/opendata/7707329152-kalendar/data-20140228-structure-20140228.xml
28-03-2014,event,Налог на прибыль организаций,reporting_deadline,налоговые агенты представляют расчеты по итогам отчетного периода;,28-02-2014,data-20140228-structure-20140228.xml,https://data.nalog.ru/opendata/7707329152-kalendar/data-20140228-structure-20140228.xml
28-03-2014,event,Налог на прибыль организаций,mixed,налогоплательщики представляют налоговую декларацию и уплачивают налог за 2013 г.;,28-02-2014,data-20140228-structure-20140228.xml,https://data.nalog.ru/opendata/7707329152-kalendar/data-20140228-structure-20140228.xml
28-03-2014,event,Налог на прибыль организаций,payment_deadline,"налогоплательщики уплачивают 3-й ежемесячный авансовый платеж по налогу за I квартал 2014 г. (об организациях, уплачивающих только квартальные авансовые платежи, см. ст. 286 НК РФ);",28-02-2014,data-20140228-structure-20140228.xml,https://data.nalog.ru/opendata/7707329152-kalendar/data-20140228-structure-20140228.xml
28-03-2014,event,Налог на прибыль организаций,mixed,"налогоплательщики, исчисляющие ежемесячные авансовые платежи исходя из фактически полученной прибыли, представляют налоговую декларацию и уплачивают авансовый платеж за февраль 2014 г.",28-02-2014,data-20140228-structure-20140228.xml,https://data.nalog.ru/opendata/7707329152-kalendar/data-20140228-structure-20140228.xml
31-03-2014,event,Бухгалтерская отчетность,other,представление годовой бухгалтерской отчетности за 2013 г.,28-02-2014,data-20140228-structure-20140228.xml,https://data.nalog.ru/opendata/7707329152-kalendar/data-20140228-structure-20140228.xml
31-03-2014,event,Единый сельскохозяйственный налог,mixed,налогоплательщики представляют декларацию и уплачивают налог за 2013 г.,28-02-2014,data-20140228-structure-20140228.xml,https://data.nalog.ru/opendata/7707329152-kalendar/data-20140228-structure-20140228.xml
31-03-2014,event,Налог на добычу полезных ископаемых,reporting_deadline,налогоплательщики представляют налоговую декларацию за февраль 2014 г.,28-02-2014,data-20140228-structure-20140228.xml,https://data.nalog.ru/opendata/7707329152-kalendar/data-20140228-structure-20140228.xml
31-03-2014,event,Налог на имущество организаций,reporting_deadline,налогоплательщики представляют налоговую декларацию за 2013 г.,28-02-2014,data-20140228-structure-20140228.xml,https://data.nalog.ru/opendata/7707329152-kalendar/data-20140228-structure-20140228.xml
31-03-2014,event,Упрощенная система налогообложения,mixed,налогоплательщики-организации представляют налоговые декларации и уплачивают налог за 2013 г.,28-02-2014,data-20140228-structure-20140228.xml,https://data.nalog.ru/opendata/7707329152-kalendar/data-20140228-structure-20140228.xml
01-04-2014,event,Налог на доходы физических лиц,reporting_deadline,налоговые агенты представляют сведения о доходах физических лиц и суммах начисленных и удержанных налогов за 2013 г.,28-02-2014,data-20140228-structure-20140228.xml,https://data.nalog.ru/opendata/7707329152-kalendar/data-20140228-structure-20140228.xml
14-04-2014,event,Налог на прибыль организаций,payment_deadline,"налогоплательщики, для которых отчетным периодом по налогу является квартал, уплачивают налог с доходов в виде процентов по государственным и муниципальным ценным бумагам за I квартал 2014 г.;",28-02-2014,data-20140228-structure-20140228.xml,https://data.nalog.ru/opendata/7707329152-kalendar/data-20140228-structure-20140228.xml
14-04-2014,event,Налог на прибыль организаций,payment_deadline,"налогоплательщики, для которых отчетным периодом по налогу является месяц, уплачивают налог с доходов в виде процентов по государственным и муниципальным ценным бумагам за март 2014 г.",28-02-2014,data-20140228-structure-20140228.xml,https://data.nalog.ru/opendata/7707329152-kalendar/data-20140228-structure-20140228.xml
15-04-2014,event,Акцизы,payment_deadline,"налогоплательщики , осуществляющие на территории Российской Федерации производство алкогольной продукции (за исключением вин, фруктовых вин, игристых вин (шампанских), натуральных напитков с объемной долей этилового спирта не более 6 процентов объема готовой продукции, изготовленных из виноматериалов, произведенных без добавления этилового спирта) и (или) подакцизной спиртосодержащей продукции, уплачивают авансовый платеж за апрель 2014 г.",28-02-2014,data-20140228-structure-20140228.xml,https://data.nalog.ru/opendata/7707329152-kalendar/data-20140228-structure-20140228.xml
