date,actual_balances,required_reserves_avg,averaging_period_days,spread
2025-03-12,5110.0,5064.8,28,45.19999999999982
2025-04-09,5052.1,4995.7,28,56.400000000000546
2025-05-07,5009.7,4963.4,28,46.30000000000018
2025-06-04,5027.02,4960.1,35,66.92000000000007
2025-07-09,4996.1,4950.9,35,45.20000000000073
2025-08-13,5058.6,5003.6,28,55.0
2025-09-10,5147.3,5080.5,28,66.80000000000018
2025-10-08,5250.5,5185.4,35,65.10000000000036
2025-11-12,5265.5,5203.3,28,62.19999999999982
2025-12-10,5428.5,5307.6,35,120.89999999999964
2026-01-14,5414.2,5314.3,28,99.89999999999964
2026-02-11,5451.2,5342.2,28,109.0
2026-03-11,5407.2,5301.4,35,105.80000000000018
