auction_date,published_date,document_title,auction_format,issue,security_type,maturity_date,days_to_maturity,offered_amount,demand_amount,placed_amount,proceeds_amount,cutoff_price,weighted_average_price,cutoff_yield,weighted_average_yield,official_coefficient,cover_ratio,placement_ratio,source_url,source_file
29-06-2016,10-01-2017,Результаты проведенных аукционов по размещению государственных ценных бумаг в 2016 году на 30.12.2016,,26216RMFS,ОФЗ-ПД,15-05-2019,1050,12435.822,18313.494,12435.821,11818.792759450002,94.20500000000001,94.26729999999999,9.229999999999999,9.2,1.4726404092950187,1.4726404092950187,0.9999999195871411,https://minfin.gov.ru/ru/document?id_4=104629-rezultaty_provedennykh_auktsionov_po_razmeshcheniyu_gosudarstvennykh_tsennykh_bumag_v_2016_godu_na_30.12.2016,INTERNET_Auction_Results_rus_2016_20161230_1.xlsx
29-06-2016,10-01-2017,Результаты проведенных аукционов по размещению государственных ценных бумаг в 2016 году на 30.12.2016,,26217RMFS,ОФЗ-ПД,18-08-2021,1876,8152.995000000001,16135.708000000002,8152.995000000001,8004.122537050001,95.47,95.585,8.790000000000001,8.76,1.9791141782866297,1.9791141782866297,1.0,https://minfin.gov.ru/ru/document?id_4=104629-rezultaty_provedennykh_auktsionov_po_razmeshcheniyu_gosudarstvennykh_tsennykh_bumag_v_2016_godu_na_30.12.2016,INTERNET_Auction_Results_rus_2016_20161230_1.xlsx
06-07-2016,10-01-2017,Результаты проведенных аукционов по размещению государственных ценных бумаг в 2016 году на 30.12.2016,,26219RMFS,ОФЗ-ПД,16-09-2026,3724,20000.0,46477.118,19999.998,19167.33611602,95.5,95.68769999999999,8.6,8.57,2.3238559000000003,2.3238559000000003,0.9999998999999999,https://minfin.gov.ru/ru/document?id_4=104629-rezultaty_provedennykh_auktsionov_po_razmeshcheniyu_gosudarstvennykh_tsennykh_bumag_v_2016_godu_na_30.12.2016,INTERNET_Auction_Results_rus_2016_20161230_1.xlsx
06-07-2016,10-01-2017,Результаты проведенных аукционов по размещению государственных ценных бумаг в 2016 году на 30.12.2016,,29006RMFS,ОФЗ-ПК,29-01-2025,3129,10000.0,6500.047,4510.045,4986.56971246,105.5,105.6039,11.62,11.600000000000001,0.6500047,0.6500047,0.45100450000000003,https://minfin.gov.ru/ru/document?id_4=104629-rezultaty_provedennykh_auktsionov_po_razmeshcheniyu_gosudarstvennykh_tsennykh_bumag_v_2016_godu_na_30.12.2016,INTERNET_Auction_Results_rus_2016_20161230_1.xlsx
13-07-2016,10-01-2017,Результаты проведенных аукционов по размещению государственных ценных бумаг в 2016 году на 30.12.2016,,26218RMFS,ОФЗ-ПД,17-09-2031,5544,15000.0,25306.281,15000.0,15512.5663,101.01,101.13510000000001,8.55,8.540000000000001,1.6870854,1.6870854,1.0,https://minfin.gov.ru/ru/document?id_4=104629-rezultaty_provedennykh_auktsionov_po_razmeshcheniyu_gosudarstvennykh_tsennykh_bumag_v_2016_godu_na_30.12.2016,INTERNET_Auction_Results_rus_2016_20161230_1.xlsx
13-07-2016,10-01-2017,Результаты проведенных аукционов по размещению государственных ценных бумаг в 2016 году на 30.12.2016,,29011RMFS,ОФЗ-ПК,29-01-2020,1295,10000.0,17764.229,8028.229,8718.142111520001,103.16000000000001,103.2656,11.28,11.24,1.7764229,1.7764229,0.8028229,https://minfin.gov.ru/ru/document?id_4=104629-rezultaty_provedennykh_auktsionov_po_razmeshcheniyu_gosudarstvennykh_tsennykh_bumag_v_2016_godu_na_30.12.2016,INTERNET_Auction_Results_rus_2016_20161230_1.xlsx
20-07-2016,10-01-2017,Результаты проведенных аукционов по размещению государственных ценных бумаг в 2016 году на 30.12.2016,,26217RMFS,ОФЗ-ПД,18-08-2021,1855,15000.0,49842.171,15000.0,14776.9857,95.47099999999999,95.49220000000001,8.799999999999999,8.799999999999999,3.3228114,3.3228114,1.0,https://minfin.gov.ru/ru/document?id_4=104629-rezultaty_provedennykh_auktsionov_po_razmeshcheniyu_gosudarstvennykh_tsennykh_bumag_v_2016_godu_na_30.12.2016,INTERNET_Auction_Results_rus_2016_20161230_1.xlsx
20-07-2016,10-01-2017,Результаты проведенных аукционов по размещению государственных ценных бумаг в 2016 году на 30.12.2016,,29006RMFS,ОФЗ-ПК,29-01-2025,3115,10000.0,11780.0,10000.0,11075.62448,105.1944,105.32220000000001,11.67,11.65,1.178,1.178,1.0,https://minfin.gov.ru/ru/document?id_4=104629-rezultaty_provedennykh_auktsionov_po_razmeshcheniyu_gosudarstvennykh_tsennykh_bumag_v_2016_godu_na_30.12.2016,INTERNET_Auction_Results_rus_2016_20161230_1.xlsx
27-07-2016,10-01-2017,Результаты проведенных аукционов по размещению государственных ценных бумаг в 2016 году на 30.12.2016,,26219RMFS,ОФЗ-ПД,16-09-2026,3703,15000.0,58063.512,15000.0,14273.59,94.55,94.5633,8.75,8.75,3.8709008000000003,3.8709008000000003,1.0,https://minfin.gov.ru/ru/document?id_4=104629-rezultaty_provedennykh_auktsionov_po_razmeshcheniyu_gosudarstvennykh_tsennykh_bumag_v_2016_godu_na_30.12.2016,INTERNET_Auction_Results_rus_2016_20161230_1.xlsx
27-07-2016,10-01-2017,Результаты проведенных аукционов по размещению государственных ценных бумаг в 2016 году на 30.12.2016,,29011RMFS,ОФЗ-ПК,29-01-2020,1281,10000.0,12873.019,9999.999,10870.27275298,102.76,102.91170000000001,11.42,11.360000000000001,1.2873019,1.2873019,0.9999998999999999,https://minfin.gov.ru/ru/document?id_4=104629-rezultaty_provedennykh_auktsionov_po_razmeshcheniyu_gosudarstvennykh_tsennykh_bumag_v_2016_godu_na_30.12.2016,INTERNET_Auction_Results_rus_2016_20161230_1.xlsx
